Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
After The Love Has Gone	Earth Wind And Fire									4407925	275						10/21/05, 12:38 AM	4/28/19, 12:30 PM	128	44100		MPEG audio file					2	4/28/19, 1:12 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Earth Wind And Fire/Unknown Album/After The Love Has Gone.mp3
World Spins Madly On	The Weepies		Bill's Top 200 2018	Bill's Top 200 2018					Folk	3346423	167			15	19	2005	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file					1	12/6/11, 1:08 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/15 World Spins Madly On.mp3
Stairway to Heaven	Led Zeppelin		Rob's Top 200 2018	Rob's Top 200 2018	top200				Rock/Pop	7684880	480			15			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file			1	1/2/07, 9:56 PM	8	6/2/18, 7:21 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/15 Stairway to Heaven.mp3
A Little Respect	Erasure		Bill's Top 200 2018	Bill's Top 200 2018					Pop	4270626	213	1	1	1	13	1988	4/11/19, 11:41 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file					4	6/2/18, 7:19 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 A Little Respect.mp3
Katy Perry - Hot N Cold (Live on Letterman)	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						4161906	259						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file					1	7/19/16, 7:06 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Katy Perry - Hot N Cold (Live on Letterman).mp3
The Fighter (feat. Ryan Tedder)	Gym Class Heroes		Bill's Top 200 2018	Bill's Top 200 2018					Alternative	9503281	228			95		2011	4/12/19, 12:18 AM	5/15/18, 8:58 PM	320	44100		MPEG audio file			1	7/31/16, 12:28 PM				Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/95 The Fighter (feat. Ryan Tedder).mp3
Call Me Lightning	Who		Rob's Top 200 2018	Rob's Top 200 2018					rock	2254848	140			29			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob			3	6/2/18, 7:42 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/29 Call Me Lightning.mp3
You're Just in Love (I Wonder Why)	Perry Como & The Fontane Sisters		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Vocal	3548124	177			9	20	2001	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 10:01 PM	3	7/19/16, 5:19 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/09 You're Just in Love (I Wonder Why).mp3
198-WhoNYC2001 - Won't Get Fooled Again	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						9345084	583						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:17 PM	5	12/6/13, 11:11 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/198-WhoNYC2001 - Won't Get Fooled Again.mp3
Need You Now	Lady Antebellum		Bill's Top 200 2018	Bill's Top 200 2018					Country	7901647	237	1	1	1	1	2009	4/12/19, 12:18 AM	5/15/18, 8:58 PM	263	44100		MPEG audio file		Amazon.com Song ID: 212339582						Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Need You Now.mp3
The Wind	Cat Stevens		Rob's Top 200 2018	Rob's Top 200 2018						1653790	102						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	2	10/10/14, 9:16 PM	4	6/2/18, 6:32 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/The Wind.mp3
So Sick	Ne-Yo		Bill's Top 200 2018	Bill's Top 200 2018					R&B/Soul	7395054	207			3	13	2006	4/12/19, 12:18 AM	5/15/18, 10:19 PM	256	44100		Purchased AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 So Sick.m4a
(You're So Square) Baby I Don't Care	Buddy Holly		Rob's Top 200 2018	Rob's Top 200 2018					Rock/Pop	1566639	96			7			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob			5	6/2/18, 6:39 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/07 (You're So Square) Baby I Don't Care.mp3
Hymn for the Weekend	Coldplay		Bill's Top 200 2018	Bill's Top 200 2018					Alternative	9273919	258			3	11	2015	3/9/19, 12:34 AM	5/15/18, 8:58 PM	256	44100		Purchased AAC audio file					1	6/21/17, 10:50 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 Hymn for the Weekend.m4a
You Lost The Sweetest Boy	Mary Wells		Rob's Top 200 2018	Rob's Top 200 2018						3049792	152						3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob			3	6/2/18, 7:04 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/You Lost The Sweetest Boy.mp3
We Can Work It Out	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018					Pop	2706449	135	1	1	13	27	1965	4/12/19, 12:18 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	9/19/10, 5:12 AM	3	6/2/18, 7:16 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/13 We Can Work It Out.mp3
 The  Warmth  Of  The  Sun	The BEACH BOYS  (1964)		Rob's Top 200 2018	Rob's Top 200 2018					Surf Rock	2775040	173					1964	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	3	8/29/15, 7:59 PM	5	8/28/15, 10:02 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/_The  Warmth  Of  The  Sun.mp3
It's My Life	Talk Talk		Bill's Top 200 2018	Bill's Top 200 2018					Rock	8352897	233			1	16	1997	4/12/19, 12:18 AM	5/15/18, 10:24 PM	256	44100		Purchased AAC audio file					1	5/19/18, 11:02 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 It's My Life.m4a
Police - Syncronicity										4792345	299						12/19/04, 6:03 PM	4/28/19, 12:29 PM	128	44100		MPEG audio file		rob			1	4/28/19, 1:11 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Unknown Artist/Unknown Album/Police - Syncronicity.mp3
Theme from "Somewhere In Time"	John Barry & Roger Williams	John Barry	Somewhere In Time (Soundtrack from the Motion Picture)						Soundtrack	7202311	204	1	1	9	9	1980	5/1/19, 12:39 PM	5/1/19, 4:36 PM	256	44100		Purchased AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/John Barry/Somewhere In Time (Soundtrack from the Motion Picture)/09 Theme from _Somewhere In Time_.m4a
Him or Me - What's it Going to Be	Paul Revere & The Raiders		Rob's Top 200 2018	Rob's Top 200 2018					148	4003840	250			19			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:16 PM	5	6/2/18, 7:12 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/19 Him or Me - What's it Going to Be.mp3
It's Time	Imagine Dragons		Bill's Top 200 2018	Bill's Top 200 2018					Rock	8421506	238	1	1	3		2012	4/12/19, 12:18 AM	5/15/18, 8:58 PM	281	44100		MPEG audio file					3	12/4/13, 8:42 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 It's Time.mp3
Love Will Come To You	Indigo Girls		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Folk	5554812	277	1	1	6	13	1992	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:47 PM	7	6/2/18, 6:52 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/06 Love Will Come To You.mp3
