Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The A Team	Ed Sheeran		The A Team (EP)						Pop	8447170	258	1	1	1	4	2011	12/6/12, 3:50 PM	5/15/18, 8:58 PM	256	44100		MPEG audio file		Amazon.com Song ID: 226175112			4	10/22/16, 5:20 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Ed Sheeran:The A Team (EP):01 The A Team.mp3
Here, There And Everywhere	The Beatles		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	2920631	145	1	1	5	14	1966	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:45 PM	5	8/28/15, 11:38 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:05 Here, There And Everywhere.mp3
Meditation from Thais - Massinet	Royal Philharmonic Orchestra		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Classical	5563662	278			9	15		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file							100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:09 Meditation from Thais - Massinet.mp3
It's Up To You	Ricky Nelson		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	3580969	178	2	4	16	29	2000	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:56 PM	7	8/28/15, 11:42 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:2-16 It's Up To You.mp3
Rather Be (feat. Jess Glynne)	Clean Bandit	James Napier	Rather Be feat. Jess Glynne						Rock	6002554	227	1	1	1		2014	8/25/15, 1:38 AM	5/15/18, 8:58 PM	209	44100		MPEG audio file					5	8/27/15, 8:14 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Clean Bandit:Rather Be feat. Jess Glynne:01 Rather Be (feat. Jess Glynne).mp3
Let It Be Me	The Everly Brothers		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Country	3171987	158	1	4	20	23	1959	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:58 PM	3	8/28/15, 11:38 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-20 Let It Be Me.mp3
Across the Universe (remix) (Remix)	Rufus Wainwright		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	5063703	253			13	21	2001	12/10/07, 12:51 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file		(Remix)	1	12/10/10, 11:46 PM	1	8/28/15, 11:50 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:13 Across the Universe (remix) (Remix).mp3
Only Love Can Break A Heart	Gene Pitney		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Easy Listening	3406530	170	1	2	14	25	1995	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			4	12/11/10, 12:00 AM	4	8/28/15, 11:35 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-14 Only Love Can Break A Heart.mp3
A Different Corner	George Michael		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3883345	242			14			7/4/17, 11:54 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:43 PM	2	7/4/17, 12:00 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:14 A Different Corner.mp3
History Of Us	Indigo Girls		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Folk	6429377	321	1	1	10	10	1989	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:02 AM	3	8/28/15, 11:46 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:10 History Of Us.mp3
