Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Read My Mind	The Killers		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Alternative	4980677	248			18	20	2006	4/11/19, 11:41 PM	5/15/18, 8:58 PM	160	44100		MPEG audio file			13	9/12/10, 11:07 AM	5	8/28/15, 11:48 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/18 Read My Mind.mp3
025-Simon & Garfunkel - The Dangling Conversation Aug 1966	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2584594	160						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:49 PM	4	8/28/15, 11:37 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/025-Simon & Garfunkel - The Dangling Conversation Aug 1966.mp3
Rolling In The Deep	Adele		Bill's Top 200 2018	Bill's Top 200 2018					Pop	6924967	228	1	1	1	1	2010	4/12/19, 12:18 AM	5/15/18, 8:58 PM	239	44100		MPEG audio file		Amazon.com Song ID: 219694394	248	8/30/15, 9:43 AM	4	6/2/18, 10:03 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Rolling In The Deep.mp3
Baby I Need Your Loving	Temptations		Rob's Top 200 2018	Rob's Top 200 2018						2670967	166						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:50 PM	4	8/28/15, 11:45 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Baby I Need Your Loving.mp3
Human	The Killers		Rob's Top 200 2018	Rob's Top 200 2018					Alternative Electronic	4948269	247	1	1	1	1	2008	4/11/19, 11:59 PM	5/15/18, 8:59 PM	160	44100		MPEG audio file			2	12/10/10, 11:48 PM	5	8/28/15, 11:53 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/01 Human.mp3
Here, There And Everywhere	The Beatles		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	2920631	145	1	1	5	14	1966	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:45 PM	7	6/2/18, 10:05 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/05 Here, There And Everywhere.mp3
I don't want to go on with you	Elton John		Rob's Top 200 2018	Rob's Top 200 2018					Oldies	4368237	272					1988	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 10:53 PM	4	8/28/15, 11:35 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/I don't want to go on with you.mp3
026-Four Tops - Reach Out and I'll Be There Sept 1966	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2853498	178						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:55 PM	4	8/28/15, 11:49 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/026-Four Tops - Reach Out and I'll Be There Sept 1966.mp3
Rainy Days And Mondays	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						3510520	218						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 10:51 PM	6	4/28/19, 12:32 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Rainy Days And Mondays.mp3
058-Elvis Presley - You're The Devil In Disguise July 1963	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2252996	140						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:43 PM	5	6/2/18, 9:56 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/058-Elvis Presley - You're The Devil In Disguise July 1963.mp3
