Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The Sweetest Days	Vanessa Williams		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					3415649	213			2			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:52 PM	5	6/2/18, 9:37 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/02 The Sweetest Days.mp3
Latch	Disclosure		Bill's Top 200 2018	Bill's Top 200 2018					Electronic	8318863	256	1	1	1		2013	4/12/19, 12:18 AM	5/15/18, 8:58 PM	256	44100		MPEG audio file					5	6/2/18, 9:36 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Latch.mp3
Go Your Own Way	Fleetwood Mac		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock	4408549	220	1	1	5	11	1977	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 10:53 PM	6	6/2/18, 9:36 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/05 Go Your Own Way.mp3
You Can Close Your Eyes	James Taylor		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007					2991064	149			21	24		3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:41 PM	3	6/2/18, 9:35 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/21 You Can Close Your Eyes.mp3
The Way You Look Tonight	Frank Sinatra		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Easy Listening	4080979	203	2	4	9	20	1990	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	10/9/14, 10:09 AM	1	8/28/15, 11:25 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-09 The Way You Look Tonight.mp3
They Live In You	Samuel E. Wright & The Lion King Ensemble		Bill's Top 200 2018	Bill's Top 200 2018					Soundtrack	6684282	181	1	1	7	20	2006	4/12/19, 12:18 AM	5/15/18, 8:58 PM	256	44100		Purchased AAC audio file					4	6/2/18, 9:33 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/07 They Live In You.m4a
Shroud For A Nightingale	Richard Harvey		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Soundtrack	9344101	467			1	17		3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:35 PM	1	12/9/11, 11:33 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Shroud For A Nightingale.mp3
I Can't Make You Love Me	Bonnie Raitt		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				genre	5366682	335			4			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:21 PM	1	8/28/15, 11:17 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/04 I Can't Make You Love Me.mp3
Just a Kiss	Lady Antebellum攀		Bill's Top 200 2018	Bill's Top 200 2018					Country	8977556	221			1	1	2011	3/9/19, 12:34 AM	5/15/18, 8:58 PM	320	44100		MPEG audio file					2	6/2/18, 9:27 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/01 Just a Kiss.mp3
I'm Gonna Be Strong	Gene Pitney		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Easy Listening	2695467	134	2	2	2	26	1995	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:36 PM	4	6/2/18, 9:26 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-02 I'm Gonna Be Strong.mp3
